University,Course,CourseLink,Logo
SIT,Offshore Engineering,https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/offshore-engineering,SIT.jpg
SIT,Pharmaceutical Engineering,https://www.singaporetech.edu.sg/undergraduate-programmes/chemical-engineering-and-food-technology/pharmaceutical-engineering,SIT.jpg
SIT,Physiotherapy,https://www.singaporetech.edu.sg/undergraduate-programmes/health-and-social-sciences/physiotherapy,SIT.jpg
SIT,Radiation Therapy,https://www.singaporetech.edu.sg/undergraduate-programmes/health-and-social-sciences/radiation-therapy,SIT.jpg
SIT,Robotics Systems,https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/robotics-systems,SIT.jpg
SIT,Speech and Language Therapy,https://www.singaporetech.edu.sg/undergraduate-programmes/health-and-social-sciences/speech-and-language-therapy,SIT.jpg
SIT,Sustainable Infrastructure Engineering (Building Services),https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/sustainable-infrastructure-engineering-building-services,SIT.jpg
SIT,Sustainable Infrastructure Engineering (Land),https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/sustainable-infrastructure-engineering-land,SIT.jpg
SIT,User Experience and Game Design,https://www.singaporetech.edu.sg/undergraduate-programmes/infocomm-technology/user-experience-and-game-design,SIT.jpg
SMU,Bachelor of Accountancy,https://admissions.smu.edu.sg/programmes/school-accountancy/school-accountancy,SMU.png
SMU,Bachelor of Business Management,https://admissions.smu.edu.sg/programmes/lee-kong-chian-school-business/lee-kong-chian-school-business,SMU.png
SMU,Bachelor of Laws,https://admissions.smu.edu.sg/programmes/school-law/school-law,SMU.png
SMU,Bachelor of Science (Computer Science),https://scis.smu.edu.sg/bsc-computer-science,SMU.png
SMU,Bachelor of Science (Computing & Law),https://scis.smu.edu.sg/bsc-computing-law,SMU.png
SMU,Bachelor of Science (Economics),https://admissions.smu.edu.sg/programmes/school-economics/school-economics,SMU.png
SMU,Bachelor of Science (Information Systems),https://admissions.smu.edu.sg/programmes/school-computing-and-information-systems/school-computing-and-information-systems-0,SMU.png
SMU,Bachelor of Social Science,https://admissions.smu.edu.sg/programmes/school-social-sciences/school-social-sciences,SMU.png
SUSS,Bachelor of Accountancy,https://www.suss.edu.sg/programmes/detail/bachelor-of-accountancy-ftacc,SUSS.png
SUSS,Bachelor of Early Childhood Education with Minor,https://www.suss.edu.sg/programmes/detail/bachelor-of-early-childhood-education-with-minor-ftece,SUSS.png
SUSS,Bachelor of Human Resource Management with Minor,https://www.suss.edu.sg/programmes/detail/bachelor-of-human-resource-management-with-minor-fthrm,SUSS.png
SUSS,Bachelor of Public Safety and Security with Minor,https://www.suss.edu.sg/programmes/detail/bachelor-of-public-safety-and-security-ftpss,SUSS.png
SUSS,Bachelor of Science in Business Analytics with Minor,https://www.suss.edu.sg/programmes/detail/bachelor-of-science-in-business-analytics-with-minor-ftbsba,SUSS.png
SUSS,Bachelor of Science in Finance with Minor,https://www.suss.edu.sg/programmes/detail/bachelor-of-science-in-finance-with-minor-ftfnce,SUSS.png
SUSS,Bachelor of Science in Marketing with Minor,https://www.suss.edu.sg/programmes/detail/bachelor-of-science-in-marketing-with-minor-ftmktg,SUSS.png
SUSS,Bachelor of Science in Supply Chain Management with Minor,https://www.suss.edu.sg/programmes/detail/bachelor-of-science-in-supply-chain-management-with-minor-ftscm,SUSS.png
SUSS,Bachelor of Social Work with Minor,https://www.suss.edu.sg/programmes/detail/bachelor-of-social-work-with-minor-ftswk,SUSS.png
SUTD,Bachelor of Science (Architecture and Sustainable Design),https://asd.sutd.edu.sg/programme/bachelor-of-science-architecture-and-sustainable-design/,SUTD.png
SUTD,Design and Artificial Intelligence (DAI),https://dai.sutd.edu.sg,SUTD.png
SUTD,Engineering Product and Development,https://epd.sutd.edu.sg/education/undergraduate/curriculum-structure/,SUTD.png
SUTD,Engineering Systems and Design,https://esd.sutd.edu.sg/academics/undergraduate-programme/,SUTD.png
SUTD,Information Systems Technology and Design,https://istd.sutd.edu.sg/education/undergraduate/curriculum-overview/,SUTD.png
SUTD,SUTD-DUKE-NUS Special Track,https://www.sutd.edu.sg/SUTD-Duke-NUS,SUTD.png
SUTD,SUTD Honours and Research Programme (SHARP),https://www.sutd.edu.sg/SHARP,SUTD.png
SUTD,SUTD Technology Entrepreneurship Programme (STEP),https://www.sutd.edu.sg/step,SUTD.png
